651992|Victims Victims|1985|NONE|VHS|Film|Victims|NONE|85010|Four Girls Alone in the Desert. They All Became His ... Victims!
652082|Mrs. Soffel|1984|United States of America|VHS|Film|Mrs. Soffel|PG-13|31955|A true story
652719|Metropolis Metropolis|1927|Germany|VHS|Film|Metropolis|NR|19|There can be no understanding between the hands and the brain unless the heart acts as mediator.
652746|Out on Bail|2003|NONE|VHS|Film|Out on bail|NONE|48945|NONE
645164|The Buffalo Creek Flood|1975|NONE|VHS|Film|Buffalo Creek flood|NONE|151542|NONE
645781|The Razor's Edge|1984|NONE|VHS|Film|Razor's edge|NONE|24453|NONE
680713|Nova Nova|-1|NONE|VHS|Film|Nova|NONE|152481|NONE
683555|Ian Fleming's Dr. No|1962|United Kingdom|VHS|Film|Ian Fleming's Dr. No|PG|646|NOW meet the most extraordinary gentleman spy in all fiction!
683651|New Faces of the Republic of China|-1|NONE|VHS|Film|New faces of the Republic of China|NONE|NONE|NONE
676314|The Premature Burial|-1|NONE|VHS|Film|Premature burial|NONE|NONE|NONE
678746|Swept Away|2002|United Kingdom|VHS|Film|Swept away|R|12779|NONE
677359|Preaching Christian Stewardship|-1|NONE|VHS|Film|Preaching christian stewardship|NONE|NONE|NONE
671853|Madame X|1966|United States of America|VHS|Film|Madame X|No US rating|42723|There was always a man... never a name!
674798|His Royal Slyness|1920|NONE|VHS|Film|His royal slyness|NONE|53530|NONE
675072|Yes Ma'am|-1|NONE|VHS|Film|Yes ma'am|NONE|NONE|NONE
670220|Prizzi's Honor|1985|United States of America|VHS|Film|Prizzi's honor|R|2075|NONE
680346|A Day without Sunshine|-1|NONE|VHS|Film|Day without sunshine|NONE|NONE|NONE
680356|Willa Cather's Paul's Case|-1|NONE|VHS|Film|Willa Cather's Paul's case|NONE|NONE|NONE
682962|The Ends of the Earth|1948|United States of America|VHS|Film|ends of the earth|No US rating|39943|NONE
764286|The Docks of New York|1928|United States of America|VHS|Film|Docks of New York|No US rating|885|NONE
734713|Inside New York's Art World|-1|NONE|VHS|Film|Inside New York's art world|NONE|NONE|NONE
739719|The Emperor Jones|1933|United States of America|VHS|Film|Emperor Jones|No US rating|43594|NONE
767411|Jane Eyre|1943|United States of America|VHS|Film|Jane Eyre|No US rating|22744|NONE
734838|Fighting Back|1982|United States of America|VHS|Film|Fighting back|No US rating|103210|Thieves, Pimps, Prostitutes, Muggers and Drug Dealers beware. John D'Angelo's out to make his neighbourhood safe. He's declaring his own personal war on crime and he doesn't want your kind around here any more.
734853|Inside New York's Art World|-1|NONE|VHS|Film|Inside New York's art world|NONE|NONE|NONE
737089|Prime Time|2012|Sweden|VHS|Film|Prime time|No US rating|118281|NONE
737111|Inside Fashion|2008|United States of America|VHS|Film|Inside fashion|No US rating|240058|NONE
737231|Fashion Lecture|-1|NONE|VHS|Film|Fashion lecture|NONE|NONE|NONE
737247|Fashion Fashion|2008|India|VHS|Film|Fashion|PG-13|19624|NONE
737267|A Place in the Sun|1951|United States of America|VHS|Film|Place in the sun|No US rating|25673|Young people asking so much of Life... taking so much of Love!
744832|Germany- Germany-|-1|NONE|VHS|Film|Germany--Dada|NONE|NONE|NONE
734995|Inside New York's Art World|-1|NONE|VHS|Film|Inside New York's art world|NONE|NONE|NONE
740021|Mo Sheng De Peng You|-1|NONE|VHS|Film|Mo sheng de peng you|NONE|NONE|NONE
728428|The Africans|-1|NONE|VHS|Film|Africans|NONE|NONE|NONE
728487|Le Livre De Marie|-1|NONE|VHS|Film|Le Livre de Marie|NONE|NONE|NONE
734939|Bridge to Freedom|-1|NONE|VHS|Film|Bridge to freedom|NONE|NONE|NONE
748062|Award-Winning Experimental Films, 1980-1985|-1|NONE|VHS|Film|Award-winning experimental films, 1980-1985|NONE|NONE|NONE
753034|Trobriand Cricket|-1|NONE|VHS|Film|Trobriand cricket|NONE|220713|NONE
728544|Barbaralee Diamonstein and ...|-1|NONE|VHS|Film|Barbaralee Diamonstein and ...|NONE|NONE|NONE
728548|Barbaralee Diamonstein and ...|-1|NONE|VHS|Film|Barbaralee Diamonstein and ...|NONE|NONE|NONE
737492|An Occurrence at Owl Creek Bridge|1962|NONE|VHS|Film|Occurrence at Owl Creek Bridge|NONE|53218|NONE
735766|American Architecture Now|-1|NONE|VHS|Film|American architecture now|NONE|NONE|NONE
728736|About the Arts|-1|NONE|VHS|Film|About the arts|NONE|NONE|NONE
735448|Inside New York's Art World|-1|NONE|VHS|Film|Inside New York's art world|NONE|NONE|NONE
740308|NOW's 20th Anniversary Show|-1|NONE|VHS|Film|NOW's 20th anniversary show|NONE|NONE|NONE
762541|Raising Arizona|1987|United States of America|VHS|Film|Raising Arizona|PG-13|378|Their lawless years are behind them. Their child-rearing years lay ahead...
731146|Max Headroom|1985|United Kingdom|VHS|Film|Max Headroom|No US rating|35933|NONE
733277|Distant Thunder|1988|United States of America|VHS|Film|Distant thunder|R|220690|A hero of war. A casualty of peace, With only one hope for survival...his son.
737927|American Architecture Now|-1|NONE|VHS|Film|American architecture now|NONE|NONE|NONE
735758|Good Morning America|-1|NONE|VHS|Film|Good morning America|NONE|NONE|NONE
738030|American Architecture Now|-1|NONE|VHS|Film|American architecture now|NONE|NONE|NONE
742897|Anything for Jazz|-1|NONE|VHS|Film|Anything for Jazz|NONE|NONE|NONE
731288|Inside New York's Art World|-1|NONE|VHS|Film|Inside New York's art world|NONE|NONE|NONE
746129|The Southerner|1945|United States of America|VHS|Film|Southerner|No US rating|45219|NONE
746134|One River, One Country|-1|NONE|VHS|Film|One river, one country|NONE|NONE|NONE
746192|Contrary Warriors|-1|NONE|VHS|Film|Contrary warriors|NONE|NONE|NONE
731402|Inside New York's Art World|-1|NONE|VHS|Film|Inside New York's art world|NONE|NONE|NONE
766288|Come Back, Africa|1959|NONE|VHS|Film|Come back, Africa|NONE|86413|NONE
768961|Roses in December|-1|NONE|VHS|Film|Roses in December|NONE|NONE|NONE
738814|American Architecture Now|-1|NONE|VHS|Film|American architecture now|NONE|NONE|NONE
729391|American Architecture Now|-1|NONE|VHS|Film|American architecture now|NONE|NONE|NONE
729392|American Architecture Now|-1|NONE|VHS|Film|American architecture now|NONE|NONE|NONE
731903|My Fair Lady|1964|United States of America|VHS|Film|My fair lady|G|11113|The loverliest motion picture of them all!
766438|Introduction to Searching DIALOG|-1|NONE|VHS|Film|Introduction to searching DIALOG|NONE|NONE|NONE
766488|Der Scharlachrote Buchstabe|1973|Germany|VHS|Film|Der scharlachrote Buchstabe|No US rating|42461|NONE
729496|American Architecture Now|-1|NONE|VHS|Film|American architecture now|NONE|NONE|NONE
729536|Inside New York's Art World.|-1|NONE|VHS|Film|Inside New York's art world.|NONE|NONE|NONE
732132|El Salvador, the Seeds of Liberty|-1|NONE|VHS|Film|El Salvador, the seeds of liberty|NONE|NONE|NONE
769738|Bound to Strike Back|-1|NONE|VHS|Film|Bound to strike back|NONE|NONE|NONE
828580|Global Groove|-1|NONE|VHS|Film|Global groove|NONE|NONE|NONE
831585|Gates of Heaven|1978|United States of America|VHS|Film|Gates of heaven|No US rating|24998|Death is for the living and not for the dead so much.
831596|Bellissimo Bellissimo|1983|Italy|VHS|Film|Bellissimo|No US rating|68275|NONE
831630|Gold of Naples|1954|NONE|VHS|Film|Gold of Naples|NONE|56122|A quartet of Neapolitan tales - four captivating stories - wry, delightful and dramatic with that special humor and temperament and that enduring zest for life that characterizes these volatile people...
812944|Two Gentlemen of Verona|1983|NONE|VHS|Film|Two gentlemen of Verona|NONE|119910|NONE
812945|Cymbeline Cymbeline|-1|NONE|VHS|Film|Cymbeline|NONE|240745|NONE
817968|La Double Inconstance|2009|NONE|VHS|Film|La Double inconstance|NONE|79618|NONE
821061|Hamlet, Prince of Denmark|1961|Germany|VHS|Film|Hamlet, Prince of Denmark|No US rating|48209|NONE
845522|Computer Animation Magic|-1|NONE|VHS|Film|Computer animation magic|NONE|NONE|NONE
848130|Kitty Kitty|1945|United States of America|VHS|Film|Kitty|No US rating|106882|She made a career out of love.
835171|The Prophecies of Nostradamus|1974|Japan|VHS|Film|Prophecies of Nostradamus|NR|149608|In 1999 all the human beings will be dead. We have only 25 years of great fear remaining. This motion picture is the incredible fruit of the most advanced scientific mind and limitless imagination.
815740|Wuthering Heights|2009|NONE|VHS|Film|Wuthering Heights|NONE|36597|NONE
841661|La Terra Trema|1948|Italy|VHS|Film|La Terra trema|No US rating|43445|NONE
812951|Titus Andronicus|1985|NONE|VHS|Film|Titus Andronicus|NONE|119914|NONE
812953|The Life & Death of King John|1984|NONE|VHS|Film|Life & death of King John|NONE|119842|NONE
812955|Much Ado About Nothing|2013|United States of America|VHS|Film|Much ado about nothing|PG-13|91739|Shakespeare Knew How to Throw a Party
821920|Dear America|1987|United States of America|VHS|Film|Dear America|PG|61777|NONE
826331|The Day the Universe Changed|-1|NONE|VHS|Film|Day the universe changed|NONE|NONE|NONE
835372|The Frontier Nursing Service|-1|NONE|VHS|Film|Frontier Nursing Service|NONE|NONE|NONE
818863|Troilus and Cressida|1981|NONE|VHS|Film|Troilus and Cressida|NONE|119913|NONE
819041|Richard III|1955|United Kingdom|VHS|Film|Richard III|No US rating|43323|NONE
