3133909|William Dieterle
3235969|Kaspar Astrup Schröder
5829829|Ang Lee
4320311|Barbara Kopple
5887183|Ellen Seidler
5887183|Megan Siler
2648214|Spike Lee
5444063|Howard Alk
3401992|Carmen Piccini
3513452|Godfrey Ho
5977286|Namir Abdel Messeeh
4328068|Bimal Roy
4084269|Tudor Giurgiu
2099578|Mike Nichols
3071113|Tim Burton
5453103|Steve Binder
4305452|Donald Petrie
5182328|Tomer Heymann
3891664|Robert Longo
3978312|Roman Polanski
3329348|John Landis
4326414|Aniruddha Roy Chowdhury
748819|Shamus Culhane
2416064|Cedric Messina
3193564|Federico Fellini
3193564|Louis Malle
3193564|Roger Vadim
3834045|Miko Jacinto
5196674|Guy Green
4342446|Chris Eigeman
2756983|Susanne Bier
3045349|Yu Wang
4063647|Harry Lachman
3589724|David LaChapelle
5841588|Scott Speer
630417|Luis Buñuel
3845440|Tristán Bauer
3806428|Fernando Meirelles
4304533|Alfred Hitchcock
5199524|Phillip Noyce
3988871|Steven James Creazzo
4230117|Dušan Makavejev
1057458|Mark L. Lester
3150443|David DeCoteau
5197559|Raoul Ruiz
5768871|Roman Paska
3379793|Hugh Munro Neely
5663099|Paul Newman
2053859|Григорий Александров
4837346|Marco Tullio Giordana
5752222|Rian Johnson
2129110|Reinhard Hauff
2571713|Raymond De Felitta
5181625|Nanni Moretti
4664555|Helmut Käutner
4033522|Dervis Zaim
3955465|Chris Marker
3955465|Yannick Bellon
1114852|Craig R. Baxley
5187197|Woody Allen
3418745|Georges Franju
5851117|Antony Balch
3489722|Béla Tarr
3982924|Richard Quine
5070671|Clifford Odets
3388096|Katherine Dieckmann
3978187|Karl Irvine
3978187|Joanna Moore
3978187|Adam Shankman
3508446|Terry Gilliam
3254781|Spike Jonze
4321131|Michael Haneke
4314405|Taggart Siegel
2667370|Karim Dridi
3920259|Thomas Palmer Jr.
3988838|Harry Hurwitz
3942502|Basil Gelpke
3942502|Ray McCormack
3942502|Reto Caduff
3145649|Andrzej Wajda
3807947|Bruce Beresford
3974253|Blake Edwards
4057296|Clyde Geronimi
3379005|Agnieszka Holland
2808098|Roko Belic
3885028|Robert Mugge
4838810|Vikram Bhatt
3403337|Dziga Vertov
3152721|Lonny Price
3360409|Catherine Breillat
5742269|Andrew Dosunmu
3495250|François Truffaut
3962246|Götz Spielmann
3859483|Robert Markowitz
4167611|John Singleton
2637345|Shen Chiang
5648930|John Cassavetes
3158400|Moisés Kaufman
3305338|Claude Lanzmann
3445438|Michael Curtiz
3224634|Alvin Rakoff
615362|Alfred Hitchcock
3031147|John Frankenheimer
5141271|Paul Wheeler
3289323|Patrick Leung
4343356|Nicolas Winding Refn
3363995|Nigel Cole
3881661|Michael Simon
4672627|Amir Bar-Lev
4305905|Mark Mori
4305905|Susan Robinson
1689444|Lance Hendrickson
1689444|Troy McCall
1689444|Mike P. Nelson
1689444|Steven Rhoden
1689444|Ben Trandem
3778097|Stephen Gaghan
1501346|Thomas L. Friedman
3051548|Brian De Palma
4084995|Gregory Nava
4314455|Jared Hess
3167833|Woody Allen
5469623|Michel Hazanavicius
3481733|Gillian Armstrong
3985109|Mohsen Melliti
5959068|Jill Maxcy
3298449|Julie Taymor
2697811|M. Night Shyamalan
3412434|Zeki Demirkubuz
1808445|Choi Ik-hwan
3147629|Barry Levinson
3120208|Joel Coen
3120208|Ethan Coen
4082261|Maria Yatskova-Ibrahimova
4095381|Shirley Clarke
3999384|Boaz Davidson
3065356|Mira Nair
4080320|Frederick de Cordova
2034723|Marco Risi
3262731|Seymour Robbie
3167927|Beau Janson
5763588|Bart Layton
3842491|Michael Apted
5684532|Ridley Scott
5817954|Marshall Curry
5860396|Johannes Naber
5848806|Fernando Trueba
5833708|Maurice Barthélémy
5260258|Antoni Krauze
3448117|Raphael Rumpf
3013687|Hideki Tonokats
3440852|Ken Annakin
813030|John Woo
5771497|Ozualdo Ribeiro Candeias
3039467|George Cukor
3999388|Dan Wolman
3769941|Antony Hoffman
5261749|James Chressanthis
5141721|Ron Shelton
3937848|Annette K. Olesen
3138490|William Dieterle
3851098|Fred Baker
4079413|Cristian Mungiu
2088914|Peter Greenaway
3399125|Niki Caro
5989187|Yasujirō Ozu
3587531|King Vidor
5200006|Daniel Auteuil
4165940|Sebastián Lelio
3501123|Yuen Woo-Ping
3945520|Thornton Freeland
3946069|Alan Parker
3463851|Chantal Akerman
3026096|Wayne Wang
3869788|Klaus Härö
4665983|Randall Wallace
5804006|Jean-Luc Godard
5804006|Jean-Pierre Gorin
5804006|Gérard Martin
